decibles,light_value,gravity_x,gravity_y,gravity_z,accelerometer_x,accelerometer_y,accelerometer_z,Time
57.0,79.0,-3.1853154,0.46409884,9.713989,-2.121933,-0.4051056,10.229538,2018-11-15 14:06:50.201
67.0,166.0,0.56003183,-0.8007448,9.752923,-7.019043E-4,-0.0952301,9.78447,2018-11-15 14:06:53.351
52.0,163.0,0.026507767,-0.12027509,9.805863,-0.10119629,-0.1179657,9.762939,2018-11-15 14:06:56.503
58.0,171.0,0.014709507,-0.12154876,9.805908,-0.011474609,-0.11437988,9.777298,2018-11-15 14:06:59.690
50.0,5.0,0.018955223,-0.12073324,9.805944,0.005279541,-0.12155151,9.778488,2018-11-15 14:07:02.767
51.0,164.0,0.011974409,-0.12055359,9.805881,-7.019043E-4,-0.12992859,9.807205,2018-11-15 14:07:05.840
63.0,166.0,0.008264855,-0.115867056,9.805974,0.0040893555,-0.12634277,9.7916565,2018-11-15 14:07:08.991
55.0,171.0,0.023764377,0.113316506,9.806517,-7.019043E-4,-0.11317444,9.797638,2018-11-15 14:07:12.064
75.0,167.0,0.008092408,-0.11261009,9.806016,-0.010269165,-0.10600281,9.762939,2018-11-15 14:07:15.179
58.0,167.0,-9.0296764E-4,-0.110912405,9.806011,-0.011474609,-0.11077881,9.746185,2018-11-15 14:07:18.365
63.0,179.0,-0.109475,-0.22785643,9.804592,-0.005493164,-0.10839844,9.816772,2018-11-15 14:07:21.514
55.0,179.0,-1.6623408,0.82858527,9.772854,-0.0090789795,-0.119155884,9.774902,2018-11-15 14:07:24.628
53.0,166.0,-0.014991548,-0.11368781,9.806036,0.0040893555,-0.12036133,9.770126,2018-11-15 14:07:27.822
57.0,171.0,0.0022322806,-0.11634475,9.805923,0.010070801,-0.10360718,9.792847,2018-11-15 14:07:31.121
58.0,174.0,0.0060943086,-0.11144387,9.806004,0.0064849854,-0.12155151,9.770126,2018-11-15 14:07:34.232
59.0,168.0,-0.0029353742,-0.11509043,9.805926,-0.005493164,-0.13232422,9.795242,2018-11-15 14:07:37.419
55.0,169.0,-0.003397433,-0.11838439,9.805949,0.012466431,,9.776108,2018-11-15 14:07:40.490
64.0,184.0,-1.0206233,-0.48504192,9.691835,-0.1765747,-0.17060852,6.141403,2018-11-15 14:07:43.528
84.0,177.0,0.6748883,-0.12267459,9.805339,-1.6314087,-3.432022,7.32106,2018-11-15 14:07:46.727
82.0,182.0,-1.1898483,-0.124471895,9.742689,-0.010269165,-1.6517639,13.91568,2018-11-15 14:07:49.832
60.0,169.0,0.62981606,0.6635053,9.789462,0.026809692,-0.11437988,9.794052,2018-11-15 14:07:53.028
52.0,164.0,0.017961398,-0.105966486,9.806085,-0.01864624,-0.14428711,9.772507,2018-11-15 14:07:56.127
58.0,169.0,0.00751361,-0.113797575,9.805966,0.005279541,-0.11198425,9.856262,2018-11-15 14:07:59.242
63.0,167.0,0.0047743786,-0.05681067,9.806595,-0.08804321,-0.027038574,9.753372,2018-11-15 14:08:02.352
75.0,165.0,0.033959594,-0.073719256,9.806321,0.005279541,-0.055755615,9.790451,2018-11-15 14:08:05.471
60.0,164.0,0.025715314,-0.06693016,9.8063965,-7.019043E-4,-0.04258728,9.801224,2018-11-15 14:08:08.578
80.0,167.0,0.025205357,-0.06510479,9.806401,-0.005493164,-0.03541565,9.809601,2018-11-15 14:08:11.655
59.0,157.0,0.01898391,-0.06545093,9.806411,0.005279541,-0.06890869,9.795242,2018-11-15 14:08:14.769
58.0,8.0,0.011824969,-0.083229624,9.806299,-0.0030975342,-0.08326721,9.773712,2018-11-15 14:08:17.879
58.0,2.0,0.010453436,-0.07684323,9.80632,0.023223877,-0.09881592,9.776108,2018-11-15 14:08:20.989
59.0,169.0,-1.0499893E-4,-0.11644389,9.8059025,-2.4676971,4.54924,2.0030212,2018-11-15 14:08:24.179
57.0,32.0,0.26476485,9.763406,-0.7181613,0.69680786,9.674667,-0.4472351,2018-11-15 14:08:27.328
52.0,30.0,1.1010563,9.732202,-0.50612605,1.1346893,10.787323,-2.2322845,2018-11-15 14:08:30.403
51.0,96.0,-3.6490488,3.6039376,6.901065,-2.10878,7.446945,6.37471,2018-11-15 14:08:33.704
50.0,67.0,-2.7955725,2.036574,9.309132,-2.6902313,1.0401611,9.466232,2018-11-15 14:08:36.781
52.0,133.0,-1.3915154,1.141739,9.686643,-1.2820587,1.195694,9.203018,2018-11-15 14:08:39.928
51.0,147.0,-1.4352757,1.0870315,9.636919,-1.3442688,1.1095581,10.511902,2018-11-15 14:08:43.077
51.0,337.0,-2.0550504,6.4546275,7.010142,-3.1185455,7.2507324,7.676407,2018-11-15 14:08:46.230
61.0,148.0,-1.2501276,2.5286865,9.566321,-1.188736,0.6585083,12.484772,2018-11-15 14:08:49.344
56.0,129.0,-3.4643743,3.5776439,8.953861,-2.240387,3.6172333,6.6977386,2018-11-15 14:08:52.418
75.0,5.0,4.415726,6.02064,7.627629,-1.2533417,2.2975922,13.571121,2018-11-15 14:08:55.605
83.0,6.0,-8.093395,-1.4610268,5.0575886,-4.1833496,7.101181,10.699738,2018-11-15 14:08:58.718
58.0,63.0,-6.273778,1.0597383,8.821971,-0.12034607,3.5418549,8.000626,2018-11-15 14:09:01.866
